Departamento;Municipio;Solicitante;Solicitud;Estado Solicitud;Fecha Radicado;Latitud;Longitud;Direccion;Tipo Equipo;Estado Ubicacion
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001701;Aprobada;02/16/2019 12:00:00 AM;7.060.883;-73.854.454;Calle 52 Carrera 24 acceso sur.     Orientación: sur - norte (Solo se va a supervisar e infraccionar en un solo sentido);Video Detección (Con analítica de video);Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001730;Aprobada;02/19/2019 12:00:00 AM;7.068.936;-73.846.969;Calle 61 diagonal 60 acceso occidental.    Orientación: occidente-oriente;Video Detección (Con analítica de video);Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001641;Aprobada;01/18/2019 12:00:00 AM;793.337;-7.249.795;SIN DIRECCION;Radar doppler;Aprobada
N. DE SANTANDER;LOS PATIOS;NORTE DE SANTANDER-LOS PATIOS;SOL0000000901;Aprobada;11/13/2018 12:00:00 AM;7.858.613;-725.008.388;AV 10 CALLE 51 COMFANORTE SENTIDO PAMPLONA - CUCUTA;Laser (Lidar) / Infrarrojo;Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001741;Aprobada;02/19/2019 12:00:00 AM;7.041.061;-7.383.988;Calle 33 carrera 52 acceso occidente.   Orientación: occidente-oriente;Video Detección (Con analítica de video);Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001722;Aprobada;02/19/2019 12:00:00 AM;7.059.478;-73.851.301;Calle 48 Carrera 28 acceso norte.    Orientación: norte- sur.;Video Detección (Con analítica de video);Aprobada
MAGDALENA;FUNDACION;INSTITUTO MUNICIPAL DE TRANSITO Y TRANSPORTE DE FUNDACION;SOL0000000681;Aprobada;10/02/2018 0:00;104.996.667;-74.161.183;"RUTA 4518 TRONCAL DEL CARIBE ""RUTA DEL SOL 3"" PR-32 +500 (TOMA DE EVIDENCIAS ELECTRONICAS EN AMBOS SENTIDOS DE CIRCULACION)";Video Detección (Con analítica de video);Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001726;Aprobada;02/19/2019 12:00:00 AM;7.062.703;-73.839.019;Calle 52A x calle 39 (calle 54). acceso oriental-sur.     Orientación oriente-occidente (Solo se va a supervisar e infraccionar en un solo sentido);Video Detección (Con analítica de video);Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000002461;Aprobada;07/26/2019 12:00:00 AM;789.416;-7.249.027;Parque Simón Bolívar intersección Av. La Gran Colombia con Av. Guaimaral;Radar doppler;Aprobada
CUNDINAMARCA;RICAURTE;SECRETARIA DE TRANSPORTE Y MOVILIDAD DE CUNDINAMARCA;SOL0000001462;Aprobada;12/18/2018 12:00:00 AM;4.239.328;-74.720.923;Via Bogota Girardot Km 14+600 Nilo;Radar doppler;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001061;Aprobada;11/23/2018 12:00:00 AM;7.872.508;-72.501.116;SIN DIRECCION;Radar doppler;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001063;Aprobada;11/24/2018 12:00:00 AM;7.891.276;-72.499.015;AVENIDA 0– DIAGONAL SANTANDER (CLL 8);Radar doppler;Aprobada
ATLANTICO;CAMPO DE LA CRUZ;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000001942;Aprobada;4/02/2019 0:00;10.459.206;-74.833.683;Vía Troncal del Occidente Ruta 2516 PR 24+650;Radar doppler;Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001728;Aprobada;02/19/2019 12:00:00 AM;7.056.758;-73.850.483;Carrera 28 Calle 45 acceso norte.   Orientación: norte-sur  (Solo se va a supervisar e infraccionar en un solo sentido);Video Detección (Con analítica de video);Aprobada
ANTIOQUIA;BELLO;SECRETARIA DE TRANSPORTES Y TRANSITO DE BELLO;SOL0000000382;Aprobada;08/29/2018 12:00:00 AM;6.329.922;-75.550.549;Avenida 38 Pedro Nel Gomez Km2 +280 Sentido S-N;Lazo Inductivo de piso (espiras);Aprobada
BOLIVAR;TURBACO;SECRETARIA DE TRANSITO Y TRANSPORTE MUNICIPAL DE TURBACO;SOL0000000362;Aprobada;07/18/2018 12:00:00 AM;10.375.602;-75.459.363;SIN DIRECCION;Radar doppler;Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001724;Aprobada;02/19/2019 12:00:00 AM;7.075.011;-73.826.844;Transversal 48 Diagonal 60 acceso oriente.  Orientación: oriente-occidente;Video Detección (Con analítica de video);Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001726;Aprobada;02/19/2019 12:00:00 AM;7.063.147;-73.839.292;Carrera 36e Calle 54 (cl 39). Acceso norte (intersección).   Orientación: norte-sur (solo se va a supervisar e infraccionar en un solo sentido);Video Detección (Con analítica de video);Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001728;Aprobada;02/19/2019 12:00:00 AM;70.561;-73.850.167;Carrera 28 calle 45 acceso sur.  Orientación: sur- norte. (olo se va a supervisar e infraccionar en un solo sentido);Video Detección (Con analítica de video);Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001762;Aprobada;02/19/2019 12:00:00 AM;7.061.962;-73.850.114;Calle 52 Carrera 30 accesos oriente.   Orientación: Oriente-Occidente;Video Detección (Con analítica de video);Aprobada
ATLANTICO;CAMPO DE LA CRUZ;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000001961;Aprobada;4/02/2019 0:00;10.377.133;-7.486.939;Vía Troncal del Occidente Ruta 2516 PR 14+000;Radar doppler;Aprobada
CUNDINAMARCA;SIBATE;SECRETARIA DE TRANSPORTE Y MOVILIDAD DE CUNDINAMARCA;SOL0000001403;Aprobada;12/15/2018 12:00:00 AM;4.524.055;-74.242.203;VIA SOACHA SIBATE KM7;Radar doppler;Aprobada
ATLANTICO;PALMAR DE VARELA;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000001965;Aprobada;4/02/2019 0:00;10.705.271;-74.750.647;Vía Troncal de Occidente Ruta 2516 PR 54+000;Radar doppler;Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001723;Aprobada;02/19/2019 12:00:00 AM;7.071.286;-73.844.066;diagonal 60 calle 63  acceso sur.     Orientación: sur-norte;Video Detección (Con analítica de video);Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001723;Aprobada;02/19/2019 12:00:00 AM;7.072.276;-73.843.598;Diagonal 60 Calle 63 Acceso norte.    Orientación norte-sur;Video Detección (Con analítica de video);Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001701;Aprobada;02/16/2019 12:00:00 AM;7.061.631;-73.854.111;Call 52 carrera 30 Acceso oriente.       Orientación: oriente occidente;Video Detección (Con analítica de video);Aprobada
ANTIOQUIA;BELLO;SECRETARIA DE TRANSPORTES Y TRANSITO DE BELLO;SOL0000000382;Aprobada;08/29/2018 12:00:00 AM;6.314.005;-75.562.133;Calle 24A Carrera 57A;Lazo Inductivo de piso (espiras);Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001062;Aprobada;11/23/2018 12:00:00 AM;789.555;-725.077;SIN DIRECCION;Radar doppler;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001061;Aprobada;11/23/2018 12:00:00 AM;7.873.421;-72.500.829;SIN DIRECCION;Radar doppler;Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001726;Aprobada;02/19/2019 12:00:00 AM;7.062.964;-73.838.958;Calle 54 (calle39) x Carrera 36e. acceso Oriente    Orientación: Oriente-Occidente (solo se va a supervisar e infraccionar en un solo sentido);Video Detección (Con analítica de video);Aprobada
CUNDINAMARCA;COTA;SECRETARIA DE TRANSPORTE Y MOVILIDAD DE CUNDINAMARCA;SOL0000001422;Aprobada;12/17/2018 12:00:00 AM;4.785.245;-74.124.876;SIN DIRECCION;Radar doppler;Aprobada
ATLANTICO;PUERTO COLOMBIA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE PUERTO COLOMBIA;SOL0000000356;Aprobada;7/11/2018 0:00;11.019.722;-7.486.882;SIN DIRECCION;Radar doppler;Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001726;Aprobada;02/19/2019 12:00:00 AM;7.062.217;-73.839.577;Carrera 36d Calle 39 acceso sur.     Orientación: Sur-norte (olo se va a supervisar e infraccionar en un solo sentido);Video Detección (Con analítica de video);Aprobada
HUILA;PALERMO;ORGANISMO DE TRANSITO MUNICPAL DE PALERMO (HUILA);SOL0000000521;Aprobada;08/31/2018 12:00:00 AM;2.947.972;-75.309.306;RUTA 4506 KM 0 + 300;Radar doppler;Aprobada
HUILA;PALERMO;ORGANISMO DE TRANSITO MUNICPAL DE PALERMO (HUILA);SOL0000000521;Aprobada;08/31/2018 12:00:00 AM;2.903.186;-75.331.144;RUTA 43HL02 PR 14 + 600;Radar doppler;Aprobada
CUNDINAMARCA;SIBATE;SECRETARIA DE TRANSPORTE Y MOVILIDAD DE CUNDINAMARCA;SOL0000001404;Aprobada;12/15/2018 12:00:00 AM;4.503.708;-74.364.935;Via Bogotá Girardot km93+600;Radar doppler;Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001728;Aprobada;02/19/2019 12:00:00 AM;7.056.281;-73.850.689;Calle 45 Carrera 28 acceso occidente.   Orientación: occidente-oriente (Solo se va a supervisar e infraccionar en un solo sentido);Video Detección (Con analítica de video);Aprobada
CUNDINAMARCA;COTA;SECRETARIA DE TRANSPORTE Y MOVILIDAD DE CUNDINAMARCA;SOL0000001451;Aprobada;12/17/2018 12:00:00 AM;4.782.882;-74.130.177;Via Mosquera Cota Km14;Radar doppler;Aprobada
ANTIOQUIA;BELLO;SECRETARIA DE TRANSPORTES Y TRANSITO DE BELLO;SOL0000001621;Aprobada;01/18/2019 12:00:00 AM;6.330.147;-75.550.323;SIN DIRECCION;Lazo Inductivo de piso (espiras);Aprobada
BOLIVAR;TURBACO;SECRETARIA DE TRANSITO Y TRANSPORTE MUNICIPAL DE TURBACO;SOL0000000363;Aprobada;07/18/2018 12:00:00 AM;10.339.709;-7.542.171;SIN DIRECCION;Radar doppler;Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001744;Aprobada;02/19/2019 12:00:00 AM;706.345;-73.843.795;Calle 39 Carrera 34c acceso Oriente.    Orientación: oriente-occidente;Video Detección (Con analítica de video);Aprobada
