Departamento;Municipio;Solicitante;Solicitud;Estado Solicitud;Fecha Radicado;Latitud;Longitud;Direccion;Tipo Equipo;Estado Ubicacion
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.446;-755.664;Carrera 45 por Calle 46;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.549;-75.563;Carrera 48 por Calle 58;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;6.290.308;-75.564.952;Avenida del Rio por Calle 94A;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.065;-755.861;Carrera 52 por Calle 2 Sur;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.269.738;-75.571.605;Avenida del Rio por Calle 72;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.274.592;-75.570.531;Avenida del Rio por Carrera 64A;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.226.302;-7.558.362;Carrera 65 por Calle 25;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.482;-755.833;Carrera 65 por Calle 44;Laser (Lidar) / Infrarrojo;Aprobada
ATLANTICO;TUBARA;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000002001;Aprobada;04/16/2019 12:00:00 AM;10.890.732;-75.051.471;VÍA AL MAR RUTA 90A01 KM 77+150;Radar doppler;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.289.662;-75.570.158;Carrera 65 por Calle 95;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.226;-755.919;Carrera 70 por Calle 19;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;6.253;-755.879;Carrera 70 por Calle 47D;Lazo Inductivo de piso (espiras);Aprobada
